ID
stroll
ocon
leclerc
aitken
perez
mick_schumacher
zhou
kvyat
alonso
sainz
kevin_magnussen
tsunoda
de_vries
max_verstappen
mazepin
lawson
giovinazzi
norris
hamilton
vettel
gasly
ricciardo
hulkenberg
bottas
russell
raikkonen
colapinto
albon
kubica
piastri
bearman
sargeant
latifi
pietro_fittipaldi
grosjean
