ConstructorID,Position_Average,Point_Average
rb,16.0,15.333333333333334
alphatauri,15.1,30.9
williams,18.76923076923077,6.076923076923077
aston_martin,12.222222222222221,55.333333333333336
ferrari,7.090909090909091,181.77272727272728
renault,8.5,90.5
sauber,22.0,0.0
alfa,16.444444444444443,10.222222222222221
alpine,10.875,62.125
mercedes,4.2,253.25
mclaren,6.8,154.6
haas,17.363636363636363,9.181818181818182
red_bull,3.1,307.85
racing_point,10.0,70.0
